"Indikator";"StartTatort";"StopTatort";"Rusningstimmar";"Lagtrafiktimmar"
"1.1";"Uppsala";"Stockholm";1;0,6
"2.1";"Sävja";"Gävle";0,83;0
"2.1";"Skutskär";"Gävle";0,5;0,3
"2.2";"Enköping";"Sävja";0,5;0,4
"3.1";"Heby";"Gävle";0,17;0
