"hpl_id";"AllaLinjer"
"700139";"3_30"
"700141";"1_4_30_32_88_116_118_119_751_770_775_777_805_811_886"
"700142";"4_30"
"700143";"4_30"
"700146";"4_88_116_118_119_751_805_811_886"
"700147";"4"
"700152";"8"
"700153";"8"
"700155";"8"
"700157";"8"
"700159";"8"
"700160";"8"
"700162";"8_10_100_103_104_105_106_110_111_115_514_821_823"
"700166";"2_12_30"
"700167";"30"
"700169";"2_12_30"
"700170";"2_12_30"
"700171";"30"
"700172";"5_8_10_100_103_104_105_106_108_109_110_111_115_514_804_821_823_844_848_895"
"700184";"30"
"700186";"30"
"700189";"2"
"700191";"2"
"700192";"30"
"700193";"30"
"700194";"30"
"700195";"30"
"700196";"30"
"700198";"30"
"700200";"7"
"700201";"1_7_770"
"700202";"10"
"700203";"1_7_770"
"700204";"7_11_770_804"
"700208";"5_136_139"
"700209";"5"
"700212";"5_12"
"700213";"5_12"
"700214";"5_12"
"700218";"1_4_12_751"
"700221";"4_12"
"700222";"4_12"
"700223";"4_12"
"700224";"4_12_100_101_188"
"700225";"4_12_100_101_188"
"700227";"12"
"700228";"110_752_823"
"700229";"110_115"
"700230";"110_115_770"
"700231";"110_770"
"700232";"770"
"700233";"110"
"700234";"110"
"700235";"115_770"
"700237";"115"
"700238";"115_770"
"700239";"115"
"700240";"115"
"700241";"115_770"
"700243";"110_115"
"700244";"110_115_191_752_770_823"
"700247";"110_115_191_823"
"700248";"110_115_191_823"
"700249";"110_115_191_823"
"700250";"110_115_191_823"
"700251";"110_115_191_823"
"700252";"110_115_191_823"
"700253";"191"
"700255";"1_32"
"700256";"1_199"
"700259";"5_9_102_186_677_804_809"
"700260";"10"
"700262";"10"
"700265";"10"
"700266";"10"
"700268";"10"
"700270";"1_804"
"700272";"11"
"700275";"4"
"700277";"4"
"700278";"5_108_109_752_804_848_895"
"700284";"4_8_31_101_188"
"700285";"8_31_101_188_751"
"700286";"31"
"700287";"8_31_101_188"
"700288";"8_31"
"700289";"8_31_101_188"
"700293";"11"
"700294";"11"
"700300";"104_105_111_168"
"700301";"111"
"700302";"104_111"
"700303";"104_111"
"700305";"111"
"700306";"111_168"
"700308";"111_168"
"700309";"111_168"
"700310";"100_111_514_821"
"700311";"100_111_514_821"
"700312";"100_103_111_514_821"
"700313";"100_103_111_514_821"
"700314";"100_103_111_514_821"
"700315";"100_103_104_105_111_514_821"
"700316";"100_103_104_105_111_514_821"
"700317";"100_103_104_105_111_514_821"
"700320";"9"
"700321";"9"
"700322";"1_844"
"700323";"9"
"700325";"3_4_8_30_101_107_188_896"
"700330";"1_10"
"700333";"5_9_102_186_677_751_801_804_809_880"
"700334";"5_9_149"
"700335";"5_9"
"700336";"5_9_10"
"700338";"5_31"
"700339";"5_31"
"700340";"5_31_152_153"
"700342";"5_31"
"700343";"31"
"700345";"110_115_823"
"700347";"110_115_752_823"
"700349";"110_115_752_823"
"700353";"9_152"
"700354";"9"
"700355";"9_31_152"
"700356";"9_31"
"700358";"9"
"700359";"152"
"700360";"9_152"
"700361";"9_152"
"700362";"9_152"
"700363";"9"
"700364";"10_152"
"700365";"10"
"700366";"10"
"700367";"5_10"
"700368";"100_103_104_105_106_111_514_821"
"700369";"100_103_104_105_106_111_514_821"
"700370";"10"
"700371";"10"
"700373";"10"
"700374";"1_10"
"700377";"844"
"700379";"11"
"700381";"11"
"700384";"30"
"700387";"8_100_101_188_896"
"700388";"8_100_101_188_896"
"700389";"8_896"
"700392";"8_11"
"700393";"8_11"
"700398";"82"
"700400";"4_12"
"700401";"1"
"700404";"11"
"700406";"11"
"700407";"11"
"700408";"11"
"700409";"11_130"
"700411";"11_107"
"700412";"11_107"
"700413";"11_107"
"700414";"11_107"
"700415";"119_199"
"700416";"119_199"
"700417";"119_199"
"700418";"119_199"
"700420";"119_199"
"700421";"119_199"
"700422";"119_199"
"700423";"119_199"
"700424";"119_190_199"
"700425";"88_116_118_119_805_811_886"
"700426";"190"
"700433";"119_199"
"700434";"119_199"
"700435";"119_199"
"700436";"119_199"
"700437";"119_199"
"700438";"119_199"
"700441";"6"
"700443";"6"
"700444";"6"
"700445";"6"
"700446";"5"
"700448";"119_199"
"700449";"32"
"700450";"6"
"700466";"30"
"700474";"30"
"700475";"30"
"700488";"5_12"
"700489";"119_199"
"700491";"6_30"
"700492";"30"
"700493";"30"
"700499";"1_10"
"700512";"11_804"
"700513";"7_11_804"
"700515";"115"
"700517";"752"
"700524";"31"
"700525";"1_3_4_8_11_12_100_101_107_188_896"
"700527";"11_770_804"
"700531";"10"
"700532";"1_110_115_823"
"700536";"108_109_752_773_774_804_848_895"
"700538";"8"
"700539";"5_9_149"
"700541";"4_30_88_116_118_119_751_805_811_886"
"700544";"10_772_844"
"700545";"104_111"
"700546";"102_149_186_677_809"
"700547";"1_102_149_186_677_801_804_809_880"
"700549";"9"
"700550";"6"
"700552";"1_10"
"700553";"31_101_188"
"700554";"31"
"700555";"31"
"700558";"110_115_191_823"
"700566";"1_10"
"700567";"1_32"
"700568";"30"
"700570";"12_136_139"
"700571";"5"
"700572";"4_12"
"700574";"4_12"
"700575";"2_7_12"
"700578";"3_4_8_100_101_107_188_896"
"700579";"3_11_107_751"
"700581";"2_3_30"
"700583";"2_7_12"
"700587";"3_4_8_100_101_107_188_896"
"700588";"30"
"700589";"2_7_12"
"700591";"2_6_7"
"700592";"804"
"700593";"1_11_12"
"700594";"30"
"700597";"100"
"700599";"12"
"700600";"2_3_4_5_6_7_8_9_10_11_30_88_100_101_102_103_104_105_106_107_108_109_110_111_115_116_118_119_149_186_188_514_593_677_751_772_773_774_775_777_801_804_805_809_811_821_823_844_848_880_886_895_896_SL-pendeln_Upptåget Sala_Upptåget Gävle"
"700602";"5_752"
"700604";"11"
"700605";"30"
"700607";"2"
"700608";"11"
"700610";"5_12"
"700612";"770_823"
"700613";"1_32_777"
"700619";"5"
"700620";"10"
"700621";"9"
"700622";"2_7_10"
"700636";"1_7_770"
"705000";"310"
"705001";"310"
"705002";"310"
"705003";"301_302_303_304_305_310_311_579_803_898_903"
"705006";"895"
"705007";"895"
"705008";"311"
"705009";"311"
"705010";"311"
"705011";"311"
"705012";"310"
"705017";"302_303"
"705018";"301_305"
"705019";"311"
"705020";"803"
"705021";"303_305"
"705023";"303_305"
"705024";"303_305"
"705025";"302_305"
"705026";"302_305"
"705027";"302_305"
"705028";"301_305"
"705029";"302_305"
"705031";"311"
"705032";"302_305"
"705033";"302_305"
"705034";"301_305"
"705036";"301_305"
"705037";"302_303_305"
"705038";"301_305"
"705039";"302_305"
"705040";"301_305_579_896_898"
"705041";"302"
"705042";"303_305"
"705043";"579_896"
"705044";"301_305"
"705045";"303_305"
"705047";"303_305"
"705049";"304_305_310"
"705050";"304_305_310_311_803_895_898_903"
"705052";"304_305_310_311_803_895_898_903"
"705054";"304_310_311_803_895_898_903"
"705055";"310"
"705057";"310_311_803_895"
"705058";"310"
"705059";"310"
"705061";"310_311_803_895"
"705062";"310"
"705063";"310"
"705064";"310"
"705065";"310"
"705066";"310"
"705067";"310"
"705068";"310_311_803_895"
"705069";"310"
"705070";"310"
"705071";"310"
"705072";"311_803_895"
"705073";"311"
"705074";"803_895"
"705075";"311"
"705076";"803_895"
"705077";"311"
"705078";"803_895"
"705079";"803"
"705080";"895"
"705081";"311"
"705082";"311"
"705083";"803"
"705084";"803"
"705085";"895"
"705087";"311"
"705088";"895"
"705089";"311"
"705090";"311"
"705091";"311"
"705092";"311"
"705093";"311"
"705095";"311"
"705097";"311"
"705098";"311"
"705100";"311"
"705102";"311"
"705103";"311"
"705104";"311"
"705106";"311"
"705107";"303_305"
"705108";"301_305"
"705109";"311"
"705110";"311"
"705111";"301"
"705114";"304"
"705115";"304"
"705116";"304"
"705117";"304"
"705120";"304"
"705121";"310"
"705122";"303"
"705123";"303"
"705124";"311"
"717001";"844"
"717002";"844"
"717003";"844"
"717004";"844"
"717005";"844"
"717006";"865_867"
"717007";"865_867"
"717008";"865_867"
"717009";"865_867"
"717010";"865_867"
"717011";"865_867"
"717012";"865_867"
"717013";"865_867"
"717014";"865_867"
"717015";"865_867"
"717016";"865_867"
"717017";"865_867"
"717018";"865_867"
"717019";"865_867"
"717020";"865_867"
"717021";"865_867"
"717022";"867"
"717023";"867"
"717024";"867"
"717025";"867"
"717026";"867"
"717027";"867"
"717028";"867"
"717029";"867"
"717030";"867"
"717031";"867"
"717032";"865_867"
"717033";"867"
"717034";"867"
"717035";"867"
"717036";"867"
"717037";"867"
"717038";"513"
"717039";"865"
"717040";"865"
"717041";"865"
"717042";"865"
"717043";"865"
"717044";"865"
"717045";"865"
"717046";"865"
"717047";"865"
"717048";"865"
"717049";"865"
"717050";"865"
"717051";"865"
"717052";"865"
"717053";"865"
"717054";"865"
"717055";"865"
"717056";"865"
"717057";"865"
"717058";"865"
"717059";"865"
"717060";"865"
"717061";"865"
"717062";"865"
"717063";"865"
"717064";"865"
"717065";"867"
"717066";"867"
"717067";"867"
"717068";"867"
"717069";"867"
"717070";"867"
"717078";"865"
"717079";"513"
"717083";"848"
"719000";"Upptåget Gävle"
"719006";"501_502_504_510_518_832"
"719007";"501_502_503_510_518_832"
"719008";"502"
"719012";"518"
"719013";"518"
"719014";"518"
"719018";"504"
"719019";"504"
"719020";"503_504"
"719021";"502"
"719022";"501_510"
"719023";"501_503_504_510_518_832"
"719024";"503_504"
