"HplID";"Hpl_Wgs84North";"Hpl_Wgs84East";"Hpl_SwerefEast";"Hpl_SwerefNorth";"KommunNamn";"LanNamn";"TatortKod";"TatortNamn";"Befolkning2018";"TatortTyp"
"105005";59,5830573946062;17,5760862670277;645468,391156195;6607799,55915146;"Upplands-Bro";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"105112";59,5684548514401;17,5333465306242;643117,715177231;6606081,35464663;"HÂbo";"Uppsala l‰n";"T0520";"B√•lsta";15210;"St√∂rre t√§tort"
"191001";59,6246582189273;17,6034621994123;646832,15531216;6612490,21129707;"Upplands-Bro";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191002";59,6223886102544;17,698997312669;652228,581472964;6612452,77561811;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191003";59,654738525792;17,9564286946885;666581,743249164;6616671,41993254;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191004";59,623370862144;17,6943909895764;651964,431145375;6612551,54808577;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191006";59,6220730490829;17,6859878394415;651496,507301857;6612387,89440053;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191007";59,6165080518433;17,6933678142966;651937,743690536;6611785,36785651;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191008";59,6176329478821;17,6894435426648;651711,374362148;6611901,5961569;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191009";59,6151044460723;17,6979318157997;652201,46489703;6611639,59876908;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191010";59,6145363128309;17,7111190778833;652947,725195253;6611606,67003172;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191011";59,6149859380668;17,7141570042939;653117,000638258;6611663,71563677;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191015";59,646097677668;17,6217598320931;647769,488206781;6614917,13082732;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191016";59,6415451816275;17,6087809322753;647058,132665453;6614381,5907585;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191017";59,6357292394389;17,6060221989924;646928,097270879;6613728,13725333;"Upplands-Bro";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191018";59,630605530273;17,5992594361993;646569,27710674;6613142,89122426;"Upplands-Bro";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191019";59,5933485840011;17,6082012655364;647236,278504739;6609015,79173343;"Upplands-Bro";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191025";59,6275979984531;17,7756591946462;656526,575776773;6613210,85047579;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191027";59,6252763354034;17,7543759986597;655337,540570157;6612902,46143323;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191028";59,6321301491639;17,7169560276449;653196,726123334;6613578,32697569;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191040";59,6174530238021;17,7229096920437;653599,329605398;6611958,51984207;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191044";59,7595784001121;18,6986009078429;707723,268531739;6630431,71280251;"Norrt‰lje";"Stockholms l‰n";"T0252";"Norrt√§lje";21188;"St√∂rre t√§tort"
"191045";60,0505747093242;18,5942610872895;700107,623957997;6662484,69617086;"Norrt‰lje";"Stockholms l‰n";"T0176";"Hallstavik";4723;"Medelstor t√§tort"
"191067";59,8953373006487;18,4914493183714;695299,670429888;6644905,49157417;"Norrt‰lje";"Stockholms l‰n";"T0144";"Edsbro";595;"Mindre t√§tort"
"191068";59,8982813450174;18,5025199567069;695901,195839422;6645265,77101399;"Norrt‰lje";"Stockholms l‰n";"T0144";"Edsbro";595;"Mindre t√§tort"
"191069";59,8997853114753;18,5171937495866;696712,51318579;6645476,62829323;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191070";59,901926065904;18,5370343555719;697808,738246639;6645773,94604319;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191071";59,9006547642348;18,5519650294209;698650,801317736;6645677,22106482;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191074";59,6360245432173;17,9295189035407;665158,114856621;6614521,49065767;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191076";59,9046790631197;18,578938620891;700134,152644129;6646206,22623736;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191077";59,8966568382823;18,4958816615054;695539,688230913;6645065,39385786;"Norrt‰lje";"Stockholms l‰n";"T0144";"Edsbro";595;"Mindre t√§tort"
"191078";59,8863386280685;18,4204786339818;691383,954940291;6643696,95226839;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191079";59,6474654583542;17,6344625630479;648479,15744944;6615097,71934932;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191081";59,6120004785408;17,6059576253161;647028,164480313;6611086,86385671;"Upplands-Bro";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191082";59,5900554241558;17,5936471883473;646429,27685387;6608617,06857413;"Upplands-Bro";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191085";59,6402631154841;17,9405518030834;665758,944950474;6615020,70511997;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191086";59,6440781215112;17,9301165093648;665152,206721637;6615419,26333949;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191087";60,0600016544137;18,5965298446969;700176,729161539;6663540,39625991;"Norrt‰lje";"Stockholms l‰n";"T0176";"Hallstavik";4723;"Medelstor t√§tort"
"191088";59,650134450708;17,9475122260095;666102,324302006;6616136,68550655;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191089";59,9018583622786;18,5695674171763;699627,390799042;6645864,09679399;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191113";59,764255619824;18,6909396376878;707264,286001557;6630928,06413121;"Norrt‰lje";"Stockholms l‰n";"T0252";"Norrt√§lje";21188;"St√∂rre t√§tort"
"191114";59,7700506225025;18,6826601534994;706763,818049496;6631546,89443369;"Norrt‰lje";"Stockholms l‰n";"T0252";"Norrt√§lje";21188;"St√∂rre t√§tort"
"191115";59,7749578371865;18,6726451910238;706171,628826476;6632061,6209781;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191116";59,7791877772806;18,6710130347957;706053,97782863;6632527,12929102;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191117";59,7859755725738;18,6682278565678;705855,916583027;6633273,62257481;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
