"HplID";"Hpl_Wgs84North";"Hpl_Wgs84East";"Hpl_SwerefEast";"Hpl_SwerefNorth";"KommunNamn";"LanNamn";"TatortKod";"TatortNamn";"Befolkning2018";"TatortTyp"
"191118";59,7973213519131;18,657793760854;705201,029098208;6634503,49177396;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191119";59,8005178531079;18,654519719999;704997,849346884;6634848,97348377;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191120";59,8048177733098;18,6500555887329;704721,229115438;6635313,54543965;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191121";59,8122136879211;18,6490277465775;704618,262914615;6636133,18530921;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191122";59,8179316513409;18,6508348176287;704684,440466481;6636774,90773194;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191123";59,8301488506475;18,6556951434975;704881,680265343;6638149,1312167;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191124";59,8385767685954;18,6596814113315;705053,088627999;6639099,09559438;"Norrt‰lje";"Stockholms l‰n";"T0348";"Svanberga";555;"Mindre t√§tort"
"191125";59,8433643854321;18,6679266013278;705485,234167786;6639657,28676774;"Norrt‰lje";"Stockholms l‰n";"T0348";"Svanberga";555;"Mindre t√§tort"
"191126";59,8500737433673;18,6712164180794;705627,999572177;6640413,92805752;"Norrt‰lje";"Stockholms l‰n";"T0348";"Svanberga";555;"Mindre t√§tort"
"191127";59,8540981879838;18,6728302221319;705693,47629234;6640866,66724831;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191128";59,8585240122203;18,6811571606116;706132,106410397;6641384,94376126;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191129";59,8606864094662;18,687415337538;706468,895032644;6641645,01317063;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191130";59,8719716107757;18,6978598820149;706983,136487917;6642933,11346187;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191132";59,8850151329856;18,6784607265806;705817,342186683;6644323,73064605;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191134";59,76147272107;18,6900585277969;707232,091459956;6630615,71194094;"Norrt‰lje";"Stockholms l‰n";"T0252";"Norrt√§lje";21188;"St√∂rre t√§tort"
"191135";59,863696659105;18,6930871064871;706767,561393513;6641997,60652925;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191136";59,8815632525227;18,6970675370861;706879,178471971;6643997,71091939;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191137";59,8889741561484;18,6574631042352;704618,923743482;6644699,07890224;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191138";59,8967869008513;18,6157127076541;702237,208874789;6645439,95814793;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191139";59,901830817919;18,5934687633274;700963,366149849;6645933,36854359;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191140";59,8945607792779;18,483271838192;694847,080636334;6644794,99216818;"Norrt‰lje";"Stockholms l‰n";"T0144";"Edsbro";595;"Mindre t√§tort"
"191141";59,8940030507718;18,4740220400116;694333,240781577;6644705,74352817;"Norrt‰lje";"Stockholms l‰n";"T0144";"Edsbro";595;"Mindre t√§tort"
"191142";59,8938144242206;18,4593507170863;693514,136666457;6644641,77173469;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191143";59,8949026639298;18,4512334190787;693054,015787215;6644739,15120184;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191144";59,8950788686301;18,4451345436713;692712,04243805;6644740,98393868;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191145";59,8781215965107;18,4095966480225;690822,558331693;6642751,24980949;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191146";59,8945616028489;18,4260581304089;691648,571800379;6644628,0417302;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191147";59,7415808961901;18,5249148615923;698081,371798981;6627897,72161071;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191148";59,7326821316164;18,5644636106827;700355,662615624;6627026,50928724;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191149";59,7383577702132;18,4014733152533;691167,1171239;6627176,7033074;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191150";59,735329973743;18,2719926479385;683910,749747883;6626473,53312346;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191151";59,6515450328113;17,9556920288398;666556,089349929;6616314,16949629;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191152";59,6585005335313;17,6776998684115;650865,592421011;6616423,46656875;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191153";59,653528046979;17,6617934253978;649991,922010953;6615833,96123169;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191154";59,6502773897363;17,646535962364;649146,89754633;6615437,76819695;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191155";59,6004925888538;17,6110102537043;647363,521203087;6609817,18236587;"Upplands-Bro";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191156";59,5909547616431;17,6007600892575;646826,793488714;6608732,8735637;"Upplands-Bro";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191157";59,6481285684874;17,9416723717319;665783,269617678;6615898,84917876;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191158";59,6465900985413;17,936891676328;665521,540500373;6615715,70019696;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191159";59,6489913039231;17,9355538547337;665434,348635058;6615979,59498512;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191166";60,0762484486009;18,5201527353977;695832,057973963;6665119,14292269;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191167";59,614097982349;17,7035810208823;652524,607595931;6611540,54265568;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191169";59,6273397407;17,8751839402967;662138,014391856;6613420,9882684;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191170";59,6326533530143;17,9046778834312;663774,662139633;6614084,75686386;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191172";59,7352540594249;18,2534883379078;682871,634354187;6626413,90184545;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191173";59,73513806705;18,2611461106673;683302,467963835;6626422,14147931;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191174";59,3781078184244;18,0125704107073;671139,858136781;6586028,91010261;"Solna";"Stockholms l‰n";"T0336";"Stockholm";1584196;"Storregional k√§rn"
"191180";59,4028220008443;17,9494048217581;667431,09369394;6588618,52296391;"Stockholm";"Stockholms l‰n";"T0384";"Upplands V√§sby och Sollentuna";146102;"St√∂rre t√§tort"
"191182";59,4046426011727;17,9571809086052;667863,326735193;6588840,7247754;"Stockholm";"Stockholms l‰n";"T0384";"Upplands V√§sby och Sollentuna";146102;"St√∂rre t√§tort"
"191183";59,4035140734253;17,9422456380925;667021,447977079;6588677,54720389;"Stockholm";"Stockholms l‰n";"T0384";"Upplands V√§sby och Sollentuna";146102;"St√∂rre t√§tort"
"191185";59,4076979066147;17,9466658200532;667251,629958846;6589154,25628248;"Stockholm";"Stockholms l‰n";"T0384";"Upplands V√§sby och Sollentuna";146102;"St√∂rre t√§tort"
"191186";59,4072489460183;17,9526787397961;667594,99379492;6589119,42463865;"Sollentuna";"Stockholms l‰n";"T0384";"Upplands V√§sby och Sollentuna";146102;"St√∂rre t√§tort"
"191210";59,6159403922816;17,7176667149815;653310,575714893;6611778,04576671;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191211";59,6492945272275;17,9680546041842;667263,634020871;6616094,8057061;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191214";59,6245043398525;17,7041858451989;652511,523026227;6612700,16654093;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191215";59,6238007068156;17,7216939267275;653501,799294549;6612662,20405705;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191216";59,6272572146168;17,7013276694185;652337,912947211;6613000,0012125;"Sigtuna";"Stockholms l‰n";"T0300";"Sigtuna";9592;"St√∂rre t√§tort"
"191217";59,650075533446;17,9902802985871;668511,68200189;6616237,94856212;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191218";59,651471800992;17,9986207331454;668974,457528127;6616414,54275981;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191220";59,6529330425331;18,0073387251894;669458,129435688;6616599,38971284;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191221";59,6528387179057;18,0193438790372;670134,769952703;6616619,60972485;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191222";59,6528561493459;18,0257499132561;670495,486136516;6616637,99054763;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191223";59,6486750649806;17,7022873398478;652294,930192208;6615386,03149835;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191225";59,6468661158589;17,9287317860434;665060,4939802;6615726,09566837;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191226";59,6526343727938;17,6985724969026;652067,721346617;6615818,1893813;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191227";59,6567301967257;18,0419047488518;671385,59214882;6617110,729687;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191228";59,6624543329093;18,0469179563121;671638,650214839;6617760,69738965;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191229";59,6594347857033;17,6902080147401;651565,850149149;6616555,95162581;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191230";59,6648037649188;17,6914675916135;651612,543919602;6617156,40598147;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191231";59,6719981813311;17,6962737633705;651850,633221475;6617968,14690329;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191233";59,6825486381924;17,7012005461856;652080,179387635;6619153,71416292;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191234";59,6663686088343;18,0480134563108;671680,314194526;6618199,13100474;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191237";59,68561153043;18,0416983743955;671226,555962853;6620324,26154187;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191238";59,693163075438;18,0448663286936;671366,216004189;6621172,81821117;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191239";59,7025527373902;18,0434500349124;671238,576412111;6622214,0928232;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191240";59,7103701271918;18,0510277010872;671624,695196629;6623103,64001182;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191242";59,7351483212606;18,2806950240274;684400,626948686;6626477,49170441;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191243";59,7326381142466;18,4226942100062;692391,936131;6626601,68638926;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191244";59,7342298805635;18,4144584069416;691920,139663366;6626754,9249459;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191245";59,7394794069585;18,1583765418947;677505,900438388;6626625,59670796;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191246";59,7387718024446;18,2376643255945;681963,542377655;6626761,80147205;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191247";59,7370672105311;18,290833944256;684959,601099633;6626719,25481507;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191249";59,739190740851;18,3015052219048;685547,275023452;6626985,36370032;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191250";59,7343003659925;18,4397226254883;693338,948416481;6626836,17349998;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191252";59,7401145255081;18,1898903500401;679272,728651431;6626781,06503485;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191253";59,7330090838965;18,5587272067003;700031,474439541;6627045,56272681;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191254";59,7355122085477;18,4500286410168;693910,860790994;6627001,10765776;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191255";59,7335220236849;18,5423507861234;699108,504744923;6627053,33305035;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191256";59,7203252622056;18,0548771149478;671790,073628852;6624221,46549254;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191257";59,7421167098987;18,1409140824351;676511,056964772;6626872,45509914;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191258";59,7407564274779;18,311246601001;686085,742389613;6627186,88401982;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191259";59,735405313005;18,4077192980578;691534,841181638;6626866,22167302;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191260";59,742923514749;18,13086537076;675942,381370042;6626935,52704409;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191262";59,7416143083946;18,2144943111098;680646,670189429;6627014,7423384;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191263";59,7418971703698;18,2049256335091;680107,688380904;6627020,18469336;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191264";59,7371415920198;18,465403017758;694764,986488052;6627227,46672875;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191265";59,7397087546964;18,3312530685484;687215,306345655;6627126,6347192;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191267";59,7362427668802;18,5315792285136;698487,299577764;6627323,73873127;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191268";59,7403440275116;18,3206090010134;686613,901289581;6627167,31226724;"Norrt‰lje";"Stockholms l‰n";"T0280";"Rimbo";5117;"Medelstor t√§tort"
"191269";59,7445339295315;18,1195018710687;675295,672148872;6627084,63568066;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191270";59,737280730533;18,486388206311;695942,880986497;6627304,78601051;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191271";59,7411426249968;18,3453804669435;688000,762311272;6627326,1606076;"Norrt‰lje";"Stockholms l‰n";"T0280";"Rimbo";5117;"Medelstor t√§tort"
"191272";59,7371051007307;18,4958560928943;696475,703743408;6627313,2671199;"Norrt‰lje";"Stockholms l‰n";"T0164";"Finsta";257;"Mindre t√§tort"
"191273";59,745734349975;18,1068814822857;674580,568478465;6627184,92003852;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191276";59,7430764850789;18,3554195598509;688553,715863962;6627569,85173429;"Norrt‰lje";"Stockholms l‰n";"T0280";"Rimbo";5117;"Medelstor t√§tort"
"191277";59,7399919455695;18,516192448021;697600,905308882;6627694,90382713;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191278";59,7429221239392;18,38677515268;690315,576564578;6627642,276022;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191282";59,74568296031;18,3760450595547;689697,303561757;6627918,7136113;"Norrt‰lje";"Stockholms l‰n";"T0280";"Rimbo";5117;"Medelstor t√§tort"
"191286";59,7500568955003;18,6896614184174;707280,555493527;6629344,46292582;"Norrt‰lje";"Stockholms l‰n";"T0252";"Norrt√§lje";21188;"St√∂rre t√§tort"
"191287";59,7545495537343;18,6944811693893;707523,259154721;6629859,3511477;"Norrt‰lje";"Stockholms l‰n";"T0252";"Norrt√§lje";21188;"St√∂rre t√§tort"
"191290";60,0373687400752;18,5027431392872;695093,589577273;6660741,74673025;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191291";60,0387493280856;18,4922820424686;694503,174943559;6660864,52453946;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191293";60,0416368760885;18,5570782842127;698092,403293494;6661378,25324209;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191294";60,0487774836873;18,5780908502643;699218,781859068;6662235,88192574;"Norrt‰lje";"Stockholms l‰n";"T0176";"Hallstavik";4723;"Medelstor t√§tort"
"191295";60,0498078110196;18,5897426278528;699860,86577441;6662385,69796776;"Norrt‰lje";"Stockholms l‰n";"T0176";"Hallstavik";4723;"Medelstor t√§tort"
"191296";60,0604515976105;18,5267049396163;696290,21106795;6663380,97944506;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191297";60,0800634890607;18,5119105415358;695351,241638063;6665519,2167718;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191298";60,0828962116279;18,5024896508924;694810,809892957;6665806,57835972;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191299";60,0903129434566;18,4826525350474;693664,61018632;6666573,47534586;"Norrt‰lje";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191300";59,6435487467288;17,9312004540795;665215,878826471;6615363,04680947;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191304";59,5222371994118;17,9001796886034;664057,970383788;6601785,34299299;"Upplands-V‰sby";"Stockholms l‰n";"T0384";"Upplands V√§sby och Sollentuna";146102;"St√∂rre t√§tort"
"191306";59,6706098878772;18,0467878644854;671589,630577842;6618667,95084297;"Sigtuna";"Stockholms l‰n";NA;NA;NA;"Utanf√∂r t√§tort"
"191329";60,0574908495786;18,599748668667;700370,993445427;6663270,80402805;"Norrt‰lje";"Stockholms l‰n";"T0176";"Hallstavik";4723;"Medelstor t√§tort"
"191330";60,0504921818791;18,596894108252;700254,618719348;6662483,49040264;"Norrt‰lje";"Stockholms l‰n";"T0176";"Hallstavik";4723;"Medelstor t√§tort"
