"hpl_id";"lat";"long"
191332;59,6369306804567;17,9267920509534
191333;59,4085548545131;17,9403966095355
191334;59,4009970238213;17,9549950952306
191347;59,6489730524601;17,9300357139427
191701;59,4766205595886;17,9142804224122
191702;59,4583723165356;17,9244154741079
191703;59,4442802169924;17,9323677778688
191704;59,4290497562018;17,9478379938202
191705;59,4091296963343;17,9622388674456
191706;59,3809836028937;18,0001911181801
191707;59,3651366796987;18,0101799586707
191709;59,3303131548704;18,0564267952036
191710;59,5118268772719;17,6345717964275
191711;59,4777479511248;17,7518558363157
191712;59,4532388331465;17,8057537761867
191713;59,4234381961503;17,8330698593842
191714;59,4035735737242;17,8687770157531
191715;59,3833886178668;17,8986327003203
191716;59,3606517559271;17,971298712576
191718;59,3311568616711;18,0590484283087
191719;59,3433620377044;18,0459332751754
191735;59,6276019407326;17,8521893435432
191736;59,6264979375921;17,8429394945137
191737;59,626973586244;17,8348491704805
191738;59,629670027317;17,8247823846536
191739;59,6235000809312;17,7262852883677
191740;59,6261084316288;17,7229066849777
191742;59,339299607279;18,0393375540611
191743;59,3454459621123;18,0396181448743
191744;59,3476222276755;18,0404819899219
191745;59,3636138331862;18,0237315794016
191746;59,3709153699057;18,0183844436621
191747;59,359016485904;18,0284618632308
191748;59,3538386161914;18,0371975805603
194002;59,4268501178497;17,0255763803579
194003;59,4790071867061;17,0189677412842
194005;59,3748927960611;17,0241860966614
194006;59,3772626793184;17,021315370861
194007;59,3789249876632;17,0182606491064
194008;59,3813791057527;17,0159728262569
194009;59,3846184145151;17,0054419213932
194011;59,3831228980209;17,0138001936915
194016;59,3874863394415;16,9971486532054
194018;59,41933823979;17,0224526195222
194020;59,4334015955722;17,0229043376438
194021;59,4545844066848;17,0087649230648
194022;59,4568031344429;17,0076445546042
194023;59,4646437194428;17,0092280685526
194024;59,4740230492997;17,0152780274829
194025;59,4926274520424;17,0119888074463
194026;59,5000502107827;17,0082453616452
194027;59,3712427003109;17,0257087469361
480103;60,676909139744;17,1314355301992
480108;60,6698406563068;17,1490005637638
480166;60,6453895129113;17,2656765590503
480211;60,6799862027683;17,1188433091398
480216;60,6641456431185;17,1547813145262
480224;60,6495120511009;17,190224259595
