"Indikator";"StartTatort";"StopTatort";"TatortKat";"AntalTurerPerRusningTimma";"AntalTurerPerEjRusningTimma";"MaxAntalByte";"StartHplID";"StopHplID"
"2.2";"Enköping";"Knivsta";"StorTatort";"2";"1";NA;781002;780050
"2.2";"Enköping";"Skutskär";"StorTatort";"2";"1";NA;781210;719200
"2.2";"Enköping";"Skutskär";"StorTatort";"2";"1";NA;781210;719006
"2.2";"Enköping";"Skutskär";"StorTatort";"2";"1";NA;781002;719200
"2.2";"Enköping";"Skutskär";"StorTatort";"2";"1";NA;781002;719006
"2.2";"Bålsta";"Enköping";"StorTatort";"2";"1";NA;705003;781210
"2.2";"Bålsta";"Enköping";"StorTatort";"2";"1";NA;705003;781002
"2.2";"Bålsta";"Enköping";"StorTatort";"2";"1";NA;105112;781210
"2.2";"Bålsta";"Enköping";"StorTatort";"2";"1";NA;105112;781002
"2.2";"Bålsta";"Sävja";"StorTatort";"2";"1";NA;705003;700358
"2.2";"Bålsta";"Sävja";"StorTatort";"2";"1";NA;105112;700358
"2.2";"Bålsta";"Knivsta";"StorTatort";"2";"1";NA;705003;780050
"2.2";"Bålsta";"Knivsta";"StorTatort";"2";"1";NA;105112;780050
"2.2";"Bålsta";"Skutskär";"StorTatort";"2";"1";NA;705003;719200
"2.2";"Bålsta";"Skutskär";"StorTatort";"2";"1";NA;705003;719006
"2.2";"Bålsta";"Skutskär";"StorTatort";"2";"1";NA;105112;719200
"2.2";"Bålsta";"Skutskär";"StorTatort";"2";"1";NA;105112;719006
"2.2";"Sävja";"Enköping";"StorTatort";"2";"1";NA;700358;781210
"2.2";"Sävja";"Enköping";"StorTatort";"2";"1";NA;700358;781002
"2.2";"Sävja";"Bålsta";"StorTatort";"2";"1";NA;700358;705003
"2.2";"Sävja";"Bålsta";"StorTatort";"2";"1";NA;700358;105112
"2.2";"Sävja";"Knivsta";"StorTatort";"2";"1";NA;700358;780050
"2.2";"Sävja";"Skutskär";"StorTatort";"2";"1";NA;700358;719200
"2.2";"Sävja";"Skutskär";"StorTatort";"2";"1";NA;700358;719006
"2.2";"Knivsta";"Enköping";"StorTatort";"2";"1";NA;780050;781210
"2.2";"Knivsta";"Enköping";"StorTatort";"2";"1";NA;780050;781002
"2.2";"Knivsta";"Bålsta";"StorTatort";"2";"1";NA;780050;705003
"2.2";"Knivsta";"Bålsta";"StorTatort";"2";"1";NA;780050;105112
"2.2";"Knivsta";"Sävja";"StorTatort";"2";"1";NA;780050;700358
"2.2";"Knivsta";"Skutskär";"StorTatort";"2";"1";NA;780050;719200
"2.2";"Knivsta";"Skutskär";"StorTatort";"2";"1";NA;780050;719006
"2.2";"Skutskär";"Enköping";"StorTatort";"2";"1";NA;719200;781210
"2.2";"Skutskär";"Enköping";"StorTatort";"2";"1";NA;719200;781002
"2.2";"Skutskär";"Enköping";"StorTatort";"2";"1";NA;719006;781210
"2.2";"Skutskär";"Enköping";"StorTatort";"2";"1";NA;719006;781002
"2.2";"Skutskär";"Bålsta";"StorTatort";"2";"1";NA;719200;705003
"2.2";"Skutskär";"Bålsta";"StorTatort";"2";"1";NA;719200;105112
"2.2";"Skutskär";"Bålsta";"StorTatort";"2";"1";NA;719006;705003
"2.2";"Skutskär";"Bålsta";"StorTatort";"2";"1";NA;719006;105112
"2.2";"Skutskär";"Sävja";"StorTatort";"2";"1";NA;719200;700358
"2.2";"Skutskär";"Sävja";"StorTatort";"2";"1";NA;719006;700358
"2.2";"Skutskär";"Knivsta";"StorTatort";"2";"1";NA;719200;780050
"2.2";"Skutskär";"Knivsta";"StorTatort";"2";"1";NA;719006;780050
"3.1";"Heby";"Uppsala";"OvrikaKommuncentra";"2";"1";NA;793051;700600
"3.1";"Heby";"Uppsala";"OvrikaKommuncentra";"2";"1";NA;793035;700600
"3.1";"Heby";"Stockholm";"OvrikaKommuncentra";"2";"1";NA;793051;191718
"3.1";"Heby";"Stockholm";"OvrikaKommuncentra";"2";"1";NA;793035;191718
"3.1";"Heby";"Gävle";"OvrikaKommuncentra";"2";"1";NA;793051;480119
"3.1";"Heby";"Gävle";"OvrikaKommuncentra";"2";"1";NA;793051;480334
"3.1";"Heby";"Gävle";"OvrikaKommuncentra";"2";"1";NA;793035;480119
"3.1";"Heby";"Gävle";"OvrikaKommuncentra";"2";"1";NA;793035;480334
"3.1";"Heby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;793051;660600
"3.1";"Heby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;793051;793052
"3.1";"Heby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;793051;793053
"3.1";"Heby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;793051;793139
"3.1";"Heby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;793035;660600
"3.1";"Heby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;793035;793052
"3.1";"Heby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;793035;793053
"3.1";"Heby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;793035;793139
"3.1";"Tierp";"Uppsala";"OvrikaKommuncentra";"2";"1";NA;760005;700600
